Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1507032836246753284,"@EWParris This is our 'Contact Us' link. It should take you to our chat service, or the option to arrange a call back. What is it showing you when you click on it? -Morgan",Amazon,amazon,2022-03-24T16:33:22.000Z,Thu Mar 24 16:33:22 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1506981657806528517,"@Gaurav97692671 We understand you're unhappy with the longer estimates provided for the order. Orders are dispatched and delivered as per the given estimates. Hence, we request you to wait till the estimated delivery date of your order. 
-Pooja",Amazon,amazon,2022-03-24T13:10:00.000Z,Thu Mar 24 13:10:00 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Tweet,,0,1,,,,,
1506914202992230408,"@ddknet Hello! Thanks for reaching out to us. We're sorry to hear this. Without posting personal information, can you tell us a little more about your issue? We'll be happy to help! -Aiveen https://t.co/8Lpni2HjRh",Amazon,amazon,2022-03-24T08:41:57.000Z,Thu Mar 24 08:41:57 +0000 2022,0,1,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,https://twitter.com/messages/compose?recipient_id=20793816 ,0,1,,,,,
1506744350222569473,"What does your ""running to the computer to add to cart"" walk look like? 

Us: https://t.co/aM96NG3UBZ",Amazon,amazon,2022-03-23T21:27:01.000Z,Wed Mar 23 21:27:01 +0000 2022,123,21,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,animated_gif,https://video.twimg.com/tweet_video/FOkH_60XoAMEC8m.mp4,,,
1506711757439610890,"When you?re stocking up on snacks from Amazon Fresh, what does your shopping cart look like?",Amazon,amazon,2022-03-23T19:17:30.000Z,Wed Mar 23 19:17:30 +0000 2022,93,14,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,,,,,
1506694362780086275,"@d_class_badger We can be reached at: https://t.co/c36EBdOJOe (you don't have to sign in), and choose ""My password isn't working."" You'll be provided a telephone number to reach us. We hope to hear from you! -Paula",Amazon,amazon,2022-03-23T18:08:23.000Z,Wed Mar 23 18:08:23 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,http://amzn.to/NASkipLogin ,0,1,,,,,
1506691281942110213,"@d_class_badger We're sorry to hear about the account issue. To clarify, have you received an email from our Account Specialists? If not, please also check your spam/junk folder in case our response was routed there by mistake. Let us know. We're here to help! -Paula",Amazon,amazon,2022-03-23T17:56:09.000Z,Wed Mar 23 17:56:09 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1506452593056309256,@eddierobbins Thank you for letting us know. Please keep us posted about any future deliveries/orders. We want to ensure you're taken care of. -Kali,Amazon,amazon,2022-03-23T02:07:41.000Z,Wed Mar 23 02:07:41 +0000 2022,1,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1506429558702186498,@eddierobbins Thank you for the details. We can understand your concern. Can you tell us what was advised when your wife reached out? -Kali,Amazon,amazon,2022-03-23T00:36:09.000Z,Wed Mar 23 00:36:09 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,,0,1,,,,,
1506425919333879813,@eddierobbins We'd like to look into this. Please provide your details here: https://t.co/pogNqicu3m. -Gwyneth,Amazon,amazon,2022-03-23T00:21:41.000Z,Wed Mar 23 00:21:41 +0000 2022,0,0,en,"<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>",Reply,https://amzn.to/3NapSpN ,0,1,,,,,
